Topics,Year,Start date,End date,Location,Category type,Category,Form,N part,N Female,1,2,3,4,5,6,NA,"total
 (Rel)",%Rel,1,2,3,4,5,6,NA,total (Impr),%Impr,,,,
"Work, Labour Force Statistics, and Labour Force Survey Tools",2015,01/12/2015,1/15/2015,Kathmandu,Country,Country,F,17,0,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Statistical Business Registers: Making a Business Case for an Operational Statistical  Business Register ,2015,1/26/2015,1/30/2015,Perak,Regional,NA,F,38,18,,,,,,,,0,#DIV/0!,2,,,10,,25,,37,68%,,,,
Planning and Management of Sample Surveys in Afghanistan,2015,3/23/2015,3/27/2015,Chiba,Country,Country,F,3,0,0,,,,,3,,3,100%,,,,,,3,,3,100%,,,,
Intermediate-level 2008 System of National Accounts,2015,04/01/2015,05/07/2015,-,E-learn,NA,EL,75,43,,,,19,,27,,46,59%,,,,,,,,0,#DIV/0!,,,,
Communication and Advocacy for Agricultural and Rural Statistics,2015,4/20/2015,4/24/2015,Bejing,Regional,Agri,F,26,9,,,,14,,12,,26,46%,,,,10,,16,,26,62%,,,,
Statistics and Sustainable Devclopment for the Democratic People's Republic of Korea,2015,4/20/2015,5/15/2015,Philippines,Country,Country,F,10,2,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Using Stata for manipulating data from population and housing censuses,2015,4/26/2015,05/07/2015,Maldives,Country,Country,F,21,18,0,,,3,,17,,20,85%,,,,3,,17,,20,85%,,,,
Production and Statistical Analysis of Monitoring Indicators in Support of Inclusive Development Policies,2015,5/18/2015,6/26/2015,Chiba,JICA,FOS,B,23,9,3,,,7,,12,1,22,55%,1,,,8,,14,,23,61%,,,,
"Statistical Data Analysis: Getting Census 2014 Data Edited, Tabulated and Analysed",2015,5/31/2015,07/04/2015,Maldives,Country,Country,B,22,19,0,,,9,,5,,14,36%,,,,6,,8,,14,57%,,,,
Basic-Level System of National Accounts (2008 SNA): Integrated Transaction Accounts,2015,06/08/2015,07/10/2015,-,E-learn,NA,EL,58,33,1,,,17,,18,,36,50%,,,,,,,,0,#DIV/0!,,,,
"Statistics on Informality: Informal economy, work and employment",2015,07/06/2015,07/10/2015,Chiba,Regional,POS,F,22,12,,,,8,,14,,22,64%,,,,2,,20,,22,91%,,,,
Statistical Literacy: Increasing Effective Use of Agricultural and Rural Statistics,2015,7/13/2015,7/17/2015,Daejeon,Regional,Agri,F,18,7,,,,4,,14,,18,78%,,,,2,,16,,18,89%,,,,
Improving Capability in Producing Official Statistics Relating to MDGs Indicators,2015,8/17/2015,12/18/2015,Chiba,JICA,FOS,B,26,12,,,,9,,17,,26,65%,,,,6,,20,,26,77%,,,,
SNA 2008 Special Topics:  Improving Exhaustiveness of GDP Coverage,2015,8/31/2015,09/04/2015,Daejeon,Regional,NA,F,18,7,,,,7,,11,,18,61%,,,,3,,15,,18,83%,,,,
Improving Use of Administrative Data in Production of Official Statistics: Role of Statistical Register Systems,2015,09/12/2015,9/16/2015,Tehran,Regional,methodology,B,21,10,,,,6,,7,,13,54%,,,,3,,10,,13,77%,,,,
Measuring the Informal Sector and the Non-Observed Economy,2015,10/04/2015,10/07/2015,Tehran,Regional,NA,F,18,10,,,,11,,6,1,17,35%,2,,,13,,3,,18,17%,,,,
System of National Accounts (2008 SNA): Integrated Transaction Accounts,2015,10/22/2015,11/23/2015,-,E-learn,NA,EL,75,44,3,,,43,,26,,72,36%,,,,,,,,0,#DIV/0!,,,,
